game,avg_playtime
"Blood Bowl Chaos Edition",94.0153846153846
"Call of Duty United Offensive",93.525
"NBA 2K14",93.21875
"Anno Online",93.025
"Disciples III Renaissance",92.35
"Might & Magic Heroes VII ",91.8
"Call of Duty Black Ops II - Multiplayer",91.4986754966887
"NBA 2K12",91.25
"Chocolatier Decadence by Design",90.0
"Clicker Heroes",89.8430555555556
"Action! - Gameplay Recording and Streaming",89.6666666666667
"Don Bradman Cricket 14",89.0
"Crusaders of the Lost Idols",88.4142857142857
"Total War SHOGUN 2",88.0530726256983
"DARK SOULS II",87.2366197183099
"Call of Duty Black Ops - Multiplayer",86.5883838383838
"ARK Survival Evolved",86.0322784810127
"Grotesque Tactics 2 - Dungeons and Donuts",86.0
"Avernum Escape From the Pit",85.6666666666667
"Grand Theft Auto V",85.3408921933085
"Football Manager 2016",85.0592592592592
"Mutant Mudds Deluxe",84.95
"Supreme Commander Forged Alliance",84.9153846153846
"The Binding of Isaac Rebirth",84.19375
"Heroes of Might & Magic V Tribes of the East",83.78
"Age of Empires Online",83.2
"NBA 2K16",82.775
DayZ,82.5829268292683
"Avernum 6",80.0
"Black Ink",79.7666666666667
"Making History The Calm & The Storm",79.0
"Rooms The Unsolvable Puzzle",78.0
"BlazBlue Continuum Shift Extend",77.9333333333333
"Team Fortress 2",74.7625053809729
"Garry's Mod",74.6626126126126
"Dragon Age II",74.56
"Elite Dangerous",74.4151515151515
"Sword of the Stars II Enhanced Edition",74.18
"Napoleon Total War",73.8222222222222
Rust,73.7937198067633
"Total War ATTILA",73.7416666666667
"Warhammer 40,000 Dawn of War II  Retribution",72.2275362318841
"METAL GEAR SOLID V THE PHANTOM PAIN",71.9863636363636
"The Jackbox Party Pack",71.8333333333333
"Farming Simulator 15",70.7
"Star Trek Online",70.022
Drakensang,69.45
"Rocksmith 2014",69.256
"Men of War Assault Squad 2",69.0
"Delta Force Black Hawk Down - Team Sabre",69.0
"Mortal Kombat X",68.3710526315789
"liteCam Game 100 FPS Game Capture",68.0
"Europa Universalis III",67.6875
"APB Reloaded",66.936231884058
"Farming Simulator 2013",66.85
Kenshi,66.675
"Kingdom Rush",65.3
Terraria,65.1126086956522
"MLB 2K12",64.5666666666667
"Fallout 4",64.4479041916168
Warframe,63.8551886792453
"Uncharted Waters Online Gran Atlas",63.45
"The Witcher 3 Wild Hunt",63.3363636363636
"Men of War Assault Squad",62.98
"UFO Extraterrestrials Gold",62.0
"Assassin's Creed Rogue",62.0
"King's Bounty Crossworlds",61.775
"Hearts of Iron II Complete",60.8666666666667
"Dragon Age Origins",60.8645161290323
"BookWorm Adventures Volume 2",60.25
"Battlefield Bad Company 2",60.1675675675676
"Assassin's Creed IV Black Flag",59.8203703703704
"Pro Evolution Soccer 2014",59.6333333333333
"Train Simulator",59.51
"Kerbal Space Program",59.2722222222222
"F1 2012",59.2368421052632
"Borderlands 2",58.7251295336788
"Primal Carnage Extinction",58.4428571428571
"The Incredible Adventures of Van Helsing Final Cut",58.0
"Hearts of Iron III",57.2857142857143
"Eschalon Book 1",57.0
"NOBUNAGA'S AMBITION Sphere of Influence",55.7666666666667
"RPG Maker MV",55.0
"The Crew",54.995
"Farming Simulator 2011",54.75
"Pro Evolution Soccer 2016",54.6666666666667
"Call of Duty Ghosts - Multiplayer",54.3514285714286
H1Z1,53.7532846715328
"LEGO MARVEL Super Heroes",53.4769230769231
"Path of Exile",53.3277486910995
"Star Ruler 2",53.2
"Rulers of Nations",53.0
"Dark Messiah of Might & Magic Multi-Player",52.7727272727273
"Ragnarok Online 2",52.6739130434783
"Craft The World",52.6133333333333
"Rocket League",52.5315436241611
"RPG Maker 2003",52.4
"Victor Vran",51.75
"Star Ruler",51.7333333333333
"Dragon Nest Europe",51.69
"Fallout New Vegas",51.6825783972125
"DARK SOULS II Scholar of the First Sin",51.2515151515152
"The Sims(TM) 3",51.1295454545455
"NBA 2K13",50.7833333333333
"Call of Duty Advanced Warfare - Multiplayer",50.7606557377049
Transformice,50.4844444444444
"PAYDAY 2",50.2917948717949
Runers,50.0
"East India Company",50.0
"Arma 2 Operation Arrowhead",49.8925925925926
MotoGP14,48.7
"Medieval II Total War Kingdoms",48.4941176470588
"Galactic Civilizations III",48.48
"Borderlands 2 RU",48.065
Breezeblox,48.0
"XCOM Enemy Unknown",47.8018633540373
"Warlock 2 the Exiled",47.7
"F1 2013",47.4666666666667
"War Thunder",47.4640264026403
"The Age of Decadence",47.0
"Sid Meier's Civilization Beyond Earth",46.3377049180328
"Dungeon Souls",46.2
"Emergency 2012",46.0
"Expeditions Conquistador",45.875
"Zuma's Revenge",45.5
"Rising Storm/Red Orchestra 2 Multiplayer",45.4831932773109
"Assassin's Creed III",45.4535714285714
"Supreme Commander 2",45.4134615384615
"Mass Effect 2",44.5
"Hotel Giant 2",44.0
"Port Royale 2",43.95
"Space Engineers",43.7950980392157
"Wargame Red Dragon",43.5962962962963
"Plants vs. Zombies Game of the Year",43.35
"Dragon Age Origins - Ultimate Edition",43.2627118644068
"Medieval II Total War",43.2105263157895
"Neverwinter Nights 2 Platinum",43.2
"Dark Souls Prepare to Die Edition",43.0772727272727
"AdVenture Capitalist",43.0333333333333
"Sunrider Academy",43.0
"Cities XL 2012",42.9090909090909
"Killing Floor",42.7806282722513
"Left 4 Dead",42.4504901960784
"Euro Truck Simulator 2",42.2625730994152
"Wargame AirLand Battle",42.2285714285714
"GameMaker Studio",42.0615384615385
"Left 4 Dead 2",41.9434456928839
"Gems of War",41.9
"7 Days to Die",41.5867346938776
RIFT,41.5146666666667
"Blood Bowl 2",41.2833333333333
"Victoria II",41.0785714285714
"The Dreamatorium of Dr. Magnus 2",41.0
"On the Rain-Slick Precipice of Darkness, Episode Two",40.75
"X3 Albion Prelude",40.35
"The Elder Scrolls Online Tamriel Unlimited",40.2705882352941
"X Rebirth",40.0
"Knights of Honor",39.8
"Hero Academy",39.76
"Grand Ages Medieval",39.6
"Champions Online",39.347619047619
Starbound,39.3166666666667
"DRAGON BALL XENOVERSE",39.196875
"Robin Hood",39.0
"Wings of Prey",38.9181818181818
Landmark,38.8
"Rome Total War",38.6548387096774
"Runestone Keeper",38.2
"Assassin's Creed Revelations",38.17
"Call of Duty World at War",37.9926470588235
"Fallen Enchantress",37.825
"Mass Effect",37.8231884057971
"Borderlands The Pre-Sequel",37.5276315789474
"Reign Of Kings",37.20625
"Pillars of Eternity",37.1512195121951
"Might & Magic X - Legacy ",37.0714285714286
Ironcast,37.0
"Tom Clancy's Ghost Recon Phantoms - NA",36.9233082706767
"Spiral Knights",36.8859375
"Global Agenda",36.8666666666667
"Puzzle Quest",36.8571428571429
"Sakura Clicker",36.8276595744681
"Dawn of Discovery - Venice",36.5166666666667
"Ultra Street Fighter IV",36.5075
"From The Depths",36.5
"Call of Duty Black Ops III",36.3051282051282
"Vampire The Masquerade - Bloodlines",36.1241379310345
"SpellForce 2 - Faith in Destiny",36.0571428571429
"The Musketeers Victoria's Quest",36.0
"Tesla Effect",36.0
Nevermind,36.0
"Tropico 3 Absolute Power",35.9083333333333
"Eador. Masters of the Broken World",35.8666666666667
"Far Cry 4",35.7628571428571
Hurtworld,35.5333333333333
"Divinity Original Sin",35.5238805970149
"Counter-Strike Condition Zero",35.3333333333333
"Age of Wonders III",35.040625
"EVE Online",34.8857142857143
"Battle Islands",34.8727272727273
WAKFU,34.869696969697
"Rusty Hearts",34.6833333333333
"Dungeon Defenders",34.3801801801802
R.U.S.E,34.3135135135135
"Age of Empires II HD Edition",34.2925
"Mount & Blade With Fire and Sword",33.9318181818182
"Endless Legend",33.8973684210526
"Torchlight II",33.7838235294118
"Fable III",33.5647058823529
"Killing Floor 2",33.2270833333333
"The LEGO Movie - Videogame",33.15
"Arma Combat Operations",33.0666666666667
"Cossacks Art of War",33.0
"NBA 2K9",32.6571428571429
"Majesty 2",32.62
"The Repopulation",32.5
"StarDrive 2",32.5
"The Binding of Isaac",32.4886904761905
Borderlands,32.4849315068493
"Terra Incognita ~ Chapter One The Descendant",32.2
"Assassin's Creed Syndicate",32.1333333333333
"You Must Build A Boat",32.0
"Freedom Force vs. the 3rd Reich",32.0
"MLB Front Office Manager",31.9666666666667
"Earth Defense Force Insect Armageddon",31.9666666666667
"LIGHTNING RETURNS FINAL FANTASY XIII",31.96
"Dragon Nest",31.8076923076923
"Age of Wonders 2",31.6
"I Am Alive",31.3555555555556
"Call of Duty Black Ops - Multiplayer OSX",31.35
"Farming Giant",31.0
"Darkest Hour A Hearts of Iron Game",30.9
"Stronghold Crusader 2",30.8266666666667
"Space Pirates and Zombies",30.8129032258065
MapleStory,30.6571428571429
"Sins of a Solar Empire Rebellion",30.4340425531915
"DC Universe Online",30.3551948051948
Banished,30.2413793103448
"Epic Battle Fantasy 4",30.2
"Freedom Fall",30.1
"Dragon's Prophet (EU)",29.975
"TrackMania Valley",29.875
"PlanetSide 2",29.7128571428571
"Sid Meier's Civilization III Complete",29.6695652173913
"LEGO The Hobbit",29.5454545454545
"The Elder Scrolls IV Oblivion ",29.4833333333333
Spore,29.4241379310345
"Anno 2070",29.42
"Endless Space",29.3843137254902
"Desktop Dungeons",29.3
"Day of Defeat Source",29.1584337349398
"Infestation Survivor Stories",29.1537313432836
"Call of Duty Modern Warfare 2",29.0754208754209
"Marvel Heroes 2015",29.0072072072072
"Magic The Gathering  Duels of the Planeswalkers 2012",28.9944444444444
"WWE 2K15",28.92
"Test Drive Unlimited 2",28.8708333333333
"Warhammer 40,000 Dawn of War II - Chaos Rising",28.7181818181818
"Dungeons of Dredmor",28.45
"Tales of Zestiria",28.4428571428571
"Return to Castle Wolfenstein",28.4090909090909
"Zombie Panic Source",28.3802325581395
"Life is Feudal Your Own",28.3538461538462
"X2 The Threat",28.1666666666667
"Far Cry 3",28.0441988950276
"Fortune Summoners Secret of the Elemental Stone",28.0
"Environmental Station Alpha",28.0
"Assassin's Creed II",27.9
"Cities Skylines",27.8365217391304
"Blackguards 2",27.8333333333333
ArcheAge,27.7425
"Dying Light",27.6575
"Magic 2014 ",27.65
"Blood Bowl Legendary Edition",27.6117647058824
"Pro Cycling Manager 2015",27.5666666666667
"Warhammer 40,000 Dawn of War  Dark Crusade",27.1695652173913
"The Witcher Enhanced Edition",27.1458333333333
"Saints Row 2",27.1070175438596
"America's Army Proving Grounds",27.0037735849057
"Naval War Arctic Circle",27.0
"Hidden Object Bundle 4 in 1",27.0
"Ancient Space",27.0
Spintires,26.9741935483871
"Prison Architect",26.8010204081633
"Icewind Dale Enhanced Edition",26.75
"Sniper Elite",26.71
"Fallen Earth",26.5729166666667
Broforce,26.4769230769231
"Red Orchestra Ostfront 41-45",26.3548387096774
"Medal of Honor Airborne",26.33
"Unreal Tournament Game of the Year Edition",26.3181818181818
"Kingdoms of Amalur Reckoning",26.2577777777778
"Democracy 2",26.2
"Warhammer 40,000 Dawn of War II",26.0916666666667
"Sacred 3",26.0833333333333
"Fairy Fencer F",26.05
Wolfenstein,26.0
GamersGoMakers,26.0
"Dungeons & Dragons Online",26.0
Crawl,26.0
"Deus Ex Human Revolution",25.995652173913
"Call of Duty Modern Warfare 3",25.7990521327014
"Natural Selection 2",25.7618556701031
Gnomoria,25.7545454545455
"FINAL FANTASY VIII",25.748275862069
"Construction-Simulator 2015",25.7
Mountain,25.6833333333333
"Renowned Explorers International Society",25.5
"Wolfenstein The New Order German Edition",25.45
"Jagged Alliance - Back in Action",25.44
"Legends of Eisenwald",25.4
"Tropico 4",25.3911764705882
Neverwinter,25.3786764705882
"LEGO Batman 3 Beyond Gotham",25.28
Darkspore,25.1666666666667
"FINAL FANTASY XI",25.15
"Saints Row The Third",25.1477157360406
"Mount & Blade",25.0862068965517
"Call to Arms",25.0666666666667
"Assassin's Creed Brotherhood",25.0358974358974
SimpleRockets,25.0
"Memento Mori 2",25.0
"Emergency 5 - Deluxe Edition",25.0
"Mafia II",24.9431034482759
"Magic 2015",24.8777777777778
Shadowgate,24.8
"Patrician IV Rise of a Dynasty",24.8
"Outcast 1.1",24.7
"Franchise Hockey Manager 2014",24.6666666666667
"X3 Reunion",24.6
"Silent Hunter 5 Battle of the Atlantic",24.6
Eufloria,24.5833333333333
"Primal Carnage",24.4619047619048
"Battle of Empires  1914-1918",24.4
"Dead State",24.1
"Men of War",24.0083333333333
"Secret Files Puritas Cordis",24.0
"FINAL FANTASY VII",23.9984126984127
"PROTOTYPE 2",23.98
"Middle-earth Shadow of Mordor",23.9639175257732
"TrackMania Stadium",23.825
"Tom Clancy's Ghost Recon Phantoms - EU",23.6080291970803
"Restaurant Empire II",23.6
"Cities in Motion",23.6
"LEGO Harry Potter Years 5-7",23.5
Basement,23.2333333333333
Eldevin,23.2285714285714
"Agricultural Simulator 2013 Steam Edition",23.2
Evolve,23.1323529411765
"Sleeping Dogs",23.1282352941176
"Tom Clancy's Rainbow Six Siege",23.1125
"The Settlers 7 Paths to a Kingdom",23.1
"Wizardry 7 Crusaders of the Dark Savant",23.0
"Warrior Kings Battles",23.0
"The Swindle",23.0
"Music Creator 6 Touch",23.0
"Hegemony III Clash of the Ancients",23.0
"Global Agenda - Beta",23.0
"Don't Starve",22.8146496815287
"Darkest Hour Europe '44-'45",22.8
"Wargame European Escalation",22.7351351351351
"Sorcerer King",22.7
GRID,22.6714285714286
"Batman Arkham City",22.6
"Frontline Tactics",22.5666666666667
"Majesty 2 Collection",22.52
Torchlight,22.5186666666667
"Company of Heroes 2",22.4712643678161
"Heroes of Hellas 3 Athens",22.45
"The Secret World",22.41875
"Wasteland 2",22.3590909090909
Robocraft,22.3503685503686
"Crysis 2",22.3428571428571
Awesomenauts,22.1279411764706
"Crypt of the NecroDancer",22.09375
Qvadriga,22.0
"Comanche 4",22.0
"Cloud Chamber",22.0
"Captain Forever Remix",22.0
"Anno 2205",22.0
"Aion Collectors Edition",22.0
"H1Z1 Test Server",21.9111111111111
"Geometry Dash",21.9
"Penny Arcade's On the Rain-Slick Precipice of Darkness 4",21.9
"The Political Machine",21.825
"FINAL FANTASY XIII",21.6272727272727
"RIDE Game",21.6
"Resident Evil 6 / Biohazard 6",21.5641025641026
"theHunter Primal",21.475
"Batman Arkham Asylum",21.4
"Sonic Generations",21.375
"Magic The Gathering - Duels of the Planeswalkers",21.3
"Might & Magic Clash of Heroes",21.2571428571429
"Sword Coast Legends",21.2
"Bloons TD5",21.2
"STAR WARS Knights of the Old Republic II The Sith Lords",21.1604166666667
"Darkest Dungeon",21.1162162162162
"Sniper Elite 3",21.1132075471698
"Puzzle Pirates",21.1
"Rayman Legends",21.0857142857143
Infinifactory,21.05
Tryst,21.0
"Triple Town",21.0
"Sweet Lily Dreams",21.0
"R.B.I. Baseball 15",21.0
"Broken Sword 4 - the Angel of Death",21.0
"Adventurer Manager",21.0
"3DMark Vantage",21.0
"IL-2 Sturmovik Cliffs of Dover",20.9076923076923
"Max Payne 3",20.8752688172043
HuniePop,20.82
"Grand Theft Auto IV",20.7358407079646
"SimCity 4 Deluxe",20.6771929824561
"The Lord of the Rings Online",20.5787878787879
"Divinity II - The Dragon Knight Saga",20.55
"Chivalry Medieval Warfare",20.540932642487
"Age of Conan Unchained - EU version",20.5285714285714
"ShootMania Storm",20.5
"Deponia The Complete Journey",20.4
"Call of Duty 4 Modern Warfare",20.3966666666667
"Mortal Kombat Komplete Edition",20.3738461538462
"Valdis Story Abyssal City",20.2857142857143
TERA,20.2381355932203
"Forsaken World ",20.2
"Assassins Creed Unity",20.1764705882353
"Portal 2",20.1260485651214
"DYNASTY WARRIORS 8 Xtreme Legends Complete Edition",20.1142857142857
"The Curious Expedition",20.0
"Gothic 3",19.94
"Batman Arkham Origins",19.9163265306122
"Stardust Vanguards",19.9
"Saints Row IV",19.8682170542636
Blackguards,19.8166666666667
Squirreltopia,19.7
"Sid Meier's Civilization IV",19.6974358974359
"Risen 2 - Dark Waters",19.6628571428571
"Fallout 3 - Game of the Year Edition",19.6627450980392
"Trials Fusion",19.6142857142857
Dishonored,19.6013793103448
"Supreme Ruler 2020 Gold",19.5
"S.T.A.L.K.E.R. Call of Pripyat",19.5
"Company of Heroes (New Steam Version)",19.4952380952381
"S.T.A.L.K.E.R. Clear Sky",19.4666666666667
"Tropico 5",19.4575757575758
"Microsoft Flight Simulator X Steam Edition",19.4214285714286
"Train Fever",19.4111111111111
"Galactic Civilizations I Ultimate Edition",19.3666666666667
"The Elder Scrolls III Morrowind",19.274358974359
"Super Panda Adventures",19.2
"Mad Games Tycoon",19.2
"Cricket Revolution",19.2
"Wolfenstein The New Order",19.1983870967742
"Darksiders II",19.1462686567164
"The Witcher 2 Assassins of Kings Enhanced Edition",19.1429411764706
"Puzzler World 2",19.1
"Tales of Maj'Eyal",19.075
"Batman Arkham City GOTY",19.051376146789
Trove,19.0450592885375
"F1 2015",18.9
"Rampage Knights",18.8666666666667
"Tom Clancy's Ghost Recon Future Soldier",18.8090909090909
"RollerCoaster Tycoon 3 Platinum!",18.8047619047619
"Warlock - Master of the Arcane",18.7636363636364
"Half-Life 2 Deathmatch",18.7520202020202
"Bookworm Adventures Deluxe",18.725
"NARUTO SHIPPUDEN Ultimate Ninja STORM 3 Full Burst",18.7108108108108
"Lost Horizon",18.6333333333333
"Railroad Tycoon 2 Platinum",18.625
"Tom Clancy's Ghost Recon Advanced Warfighter",18.6
Darkstone,18.6
"Just Cause 2",18.5887096774194
"London 2012 The Official Video Game of the Olympic Games",18.55
"Command and Conquer Red Alert 3",18.5269230769231
"F1 2010",18.5166666666667
"Warhammer End Times - Vermintide",18.4941176470588
"RPG Maker VX Ace",18.4896551724138
"Titan Quest Immortal Throne",18.4806451612903
"Defense Grid The Awakening",18.4341463414634
"FTL Faster Than Light",18.3793650793651
StarMade,18.3
RAGE,18.3
"Stranded Deep",18.2702702702703
FarSky,18.25
"Combat Arms",18.2
"Empyrion - Galactic Survival",18.1857142857143
"Fallout 3",18.1473684210526
"Castlevania Lords of Shadow 2",18.0571428571429
StarDrive,18.0
"Duck Game",17.9142857142857
"Age of Wonders Shadow Magic",17.9
"Dishonored (RU)",17.8444444444444
"Football Superstars",17.8
"Echo of Soul",17.7652173913044
"The Talos Principle",17.7541666666667
Watch_Dogs,17.72
"Mini Metro",17.7
"Jade Empire Special Edition",17.45
Prototype,17.415
"BioShock Infinite",17.4014150943396
"Hero Siege",17.3703703703704
Caribbean!,17.3
"The Amazing Spider-Man 2",17.225
"Omerta - City of Gangsters",17.2235294117647
"Soul Gambler",17.1666666666667
"Black Mesa",17.1625
"Age of Empires III Complete Collection",17.133734939759
"Call of Duty Black Ops",17.0748898678414
"Fallen Enchantress Legendary Heroes",17.0181818181818
"Petz Horsez 2",17.0
"Spore Galactic Adventures",16.9588235294118
"Mad Max",16.952
"Grim Dawn",16.9230769230769
"DOOM 3 BFG Edition",16.895652173913
"Tom Clancy's Splinter Cell Blacklist",16.8810810810811
"The Lord of the Rings War in the North",16.8627450980392
"Grand Theft Auto Episodes from Liberty City",16.8351351351351
"Beasts of Prey",16.825
"South Park The Stick of Truth",16.8050505050505
"Mordheim City of the Damned",16.8
"Evil Genius",16.7916666666667
"Anno 1404 Venice",16.75
"Age of Chivalry",16.7241379310345
"Skyward Collapse",16.7
"Company of Heroes Opposing Fronts",16.656
"EVGA PrecisionX 16",16.61
"The Masterplan",16.6
Windward,16.5666666666667
"War of the Roses",16.5608695652174
"GRID 2",16.5578947368421
"Tree of Life",16.5
"Super Monday Night Combat",16.46
"Magic The Gathering - Duels of the Planeswalkers 2013",16.4333333333333
"Cities XXL",16.425
"Talisman Digital Edition",16.4
"Disney Infinity 2.0",16.4
"Age of Wonders",16.4
"Tom Clancy's Splinter Cell Conviction",16.395
"Supreme Commander",16.35
"FINAL FANTASY III",16.35
"Port Royale 3",16.3090909090909
Impire,16.3
"Dead or Alive 5 Last Round",16.3
"Overlord Raising Hell",16.2
Antisquad,16.2
"Toy Soldiers",16.1857142857143
"Majesty Gold Edition",16.1
"Patrician IV Steam Special Edition",16.0857142857143
"Ori and the Blind Forest",16.0322580645161
"Football Tactics",16.0
"Warhammer 40,000 Space Marine",15.9795918367347
"The Last Remnant",15.9777777777778
"Pinball FX2",15.9727272727273
"Time Clickers",15.9607142857143
"Pirates of Black Cove",15.95
"Trials Evolution Gold Edition",15.936
"Sins of a Solar Empire Trinity",15.9076923076923
"The Witcher Adventure Game",15.9
"Party Hard",15.9
"Spec Ops The Line",15.8732142857143
Insurgency,15.8705479452055
"IL-2 Sturmovik Battle of Stalingrad",15.85
"Audiosurf 2",15.7571428571429
"F1 2011",15.74
"Assetto Corsa",15.7388888888889
"L.A. Noire",15.7013888888889
"Planet Explorers",15.7
"Block Story",15.7
"Agarest Generations of War",15.6875
"LEGO Jurassic World",15.6571428571429
"Guild Wars Game of the Year",15.65
"Tomb Raider",15.6093137254902
"Blacklight Retribution",15.5703703703704
"The Walking Dead",15.4567567567568
"Ship Simulator Extremes",15.4333333333333
Defiance,15.4150537634409
"Wallace & Gromit Ep 2 The Last Resort",15.4
"Guild of Dungeoneering",15.3666666666667
"Battlestations Pacific",15.32
"Wildlife Park 2",15.3
"Just Cause 3",15.3
"Bejeweled 3",15.2642857142857
Millie,15.2
"Shadowrun Hong Kong",15.1833333333333
"Game of Thrones - A Telltale Games Series",15.12
"Batman Arkham Knight",15.1
Unturned,15.0574368568756
"NARUTO SHIPPUDEN Ultimate Ninja STORM Revolution",15.0538461538462
"The Banner Saga",14.9862068965517
"Star Wars Knights of the Old Republic",14.9658536585366
"Divinity II - Ego Draconis",14.95
"Gravity Badgers",14.9
"The Sims(TM) Medieval",14.85
"4 Elements",14.85
"X-COM Terror from the Deep",14.8166666666667
TerraTech,14.8166666666667
Pongo,14.8
Minimon,14.8
"Hate Plus",14.8
"RPG Maker XP",14.7
Xenonauts,14.6166666666667
"Lords Of The Fallen",14.6117647058824
"The Settlers 7 Paths to a Kingdom - Gold Edition",14.6
"Sky Nations",14.6
"Battle Academy",14.6
"King's Bounty Armored Princess",14.575
"The Movies",14.5
"Dungeons 2",14.4833333333333
"Town of Salem",14.4166666666667
"The Impossible Game",14.4
"Nostradamus The Last Prophecy",14.4
"Deus Ex Human Revolution - Director's Cut",14.3907407407407
"Day of Defeat",14.3776595744681
"The Jackbox Party Pack 2",14.3
"Planets Under Attack",14.3
"Joe Dever's Lone Wolf HD Remastered",14.3
"Broken Sword 5 - the Serpent's Curse",14.3
"LEGO Batman 2",14.225
"Anno 1404",14.2222222222222
GRAV,14.21
"State of Decay",14.1703125
Magicite,14.1647058823529
"Project CARS",14.1291666666667
"Shift 2 Unleashed",14.1222222222222
"DiRT 3",14.1204081632653
Overlord,14.1136363636364
"Painkiller Gold Edition",14.1
"Cricket Captain 2014",14.1
"Shadowrun Dragonfall - Director's Cut",14.0764705882353
"You Need A Budget 4 (YNAB)",14.0636363636364
"Tropico 3 - Steam Special Edition",14.0166666666667
"Point Perfect",14.0
"Two Worlds II",13.9965517241379
"DarkStar One",13.9666666666667
"Dead Island",13.9120879120879
"S.T.A.L.K.E.R. Shadow of Chernobyl",13.9108108108108
Iesabel,13.9
"Blood Bowl Dark Elves Edition",13.9
Undertale,13.89375
"Software Inc.",13.86
"Higurashi When They Cry - Ch.1 Onikakushi",13.8
"Legend of Dungeon Masters",13.8
"Rogue Legacy",13.7603174603175
Besiege,13.7538461538462
"Life Is Strange",13.6894736842105
"Prince of Persia The Forgotten Sands",13.6857142857143
"Battlefield 2",13.6642857142857
"Source Filmmaker",13.6575757575758
"Risen 3 - Titan Lords",13.625
Elsword,13.6178571428571
"Skyscraper Simulator",13.6
"Section 8",13.5666666666667
"Don't Starve Together Beta",13.546
"The Book of Unwritten Tales The Critter Chronicles",13.5
"The Book of Unwritten Tales 2",13.5
Risen,13.4692307692308
"Recettear An Item Shop's Tale",13.45625
"Gas Guzzlers Extreme",13.4333333333333
Sheltered,13.38
SpeedRunners,13.3781818181818
3DMark,13.3777777777778
"This War of Mine",13.3722222222222
"Sniper Ghost Warrior",13.3480769230769
"Nancy Drew The White Wolf of Icicle Creek",13.3
"Metro Last Light",13.2759036144578
"If My Heart Had Wings",13.25
Homefront,13.2441860465116
"The Forest",13.24375
"RollerCoaster Tycoon Deluxe",13.20625
Survivalist,13.2
FATE,13.2
"Fight The Dragon",13.18
"Gang Beasts",13.1666666666667
"The Legend of Heroes Trails in the Sky",13.14
Darksiders,13.1318681318681
"Space Rangers HD A War Apart",13.12
"Company of Heroes Tales of Valor",13.1121212121212
"Grotesque Tactics Evil Heroes",13.1
"Borderless Gaming",13.1
Demigod,13.0909090909091
"Offworld Trading Company",13.0833333333333
Reassembly,13.0666666666667
Bulletstorm,13.0347826086957
"Age of Mythology Extended Edition",13.0138888888889
"The Escapists",13.0
"Heroes of Might & Magic III - HD Edition",13.0
"Sometimes Success Requires Sacrifice",12.95
"March of the Eagles",12.92
