game,total_purchasers,purchased_and_played,conversion_rate
"Test Drive Ferrari Racing Legends",1,1,100.0
"Tetrobot and Co.",1,1,100.0
"The Adventures of Tree",1,1,100.0
"The Albino Hunter",3,3,100.0
"The Beast of Lycan Isle - Collector's Edition",1,1,100.0
"The Black Watchmen",1,1,100.0
"The Bug Butcher",1,1,100.0
"The Campaign Series Fall Weiss",1,1,100.0
"The Clans - Saga of the Twins",1,1,100.0
"The Clockwork Man",2,2,100.0
"The Crew",20,20,100.0
"The Curious Expedition",1,1,100.0
"The Cursed Crusade",4,4,100.0
"The Dreamatorium of Dr. Magnus 2",1,1,100.0
"The Egyptian Prophecy The Fate of Ramses",1,1,100.0
"The Entente Gold",1,1,100.0
"The Escapists The Walking Dead",2,2,100.0
"The Few",1,1,100.0
"The Fifth Day",2,2,100.0
"The Flame in the Flood",1,1,100.0
"The Golf Club",2,2,100.0
"The Good Life",1,1,100.0
"The Graveyard",1,1,100.0
"The Haunted Hells Reach",1,1,100.0
"The Impossible Game",1,1,100.0
"The Incredible Adventures of Van Helsing Final Cut",1,1,100.0
"The Incredible Adventures of Van Helsing III",2,2,100.0
"The Jackbox Party Pack 2",1,1,100.0
"The Lady",1,1,100.0
"The Last Federation",4,4,100.0
"The Magic Circle",1,1,100.0
"The Mean Greens - Plastic Warfare",2,2,100.0
"The Musketeers Victoria's Quest",1,1,100.0
"The Otherside",1,1,100.0
"The Path - Prologue",3,3,100.0
"The Political Machine 2016",1,1,100.0
"The Repopulation",2,2,100.0
"The Settlers 7 Paths to a Kingdom",3,3,100.0
"The Silent Age",2,2,100.0
"The Sims(TM) 3",44,44,100.0
"The Sims(TM) Medieval",4,4,100.0
"The Stalin Subway",1,1,100.0
"The Stomping Land",9,9,100.0
"The Treasures of Montezuma 4",4,4,100.0
"The Universim",1,1,100.0
"The Walking Dead Survival Instinct",1,1,100.0
"The Wizard's Pen",1,1,100.0
"Theme Park Studio",1,1,100.0
"Thief Town",1,1,100.0
"Time Mysteries 3 The Final Enigma",2,2,100.0
"Time Mysteries Inheritance - Remastered",1,1,100.0
"Tkl Online",1,1,100.0
"To End All Wars",2,2,100.0
"Toast Time",1,1,100.0
"Tobe's Vertical Adventure",1,1,100.0
"Tom Clancy's H.A.W.X. 2",7,7,100.0
"Tom Clancy's Rainbow Six Siege",8,8,100.0
"Total Annihilation",3,3,100.0
"Total War ATTILA",36,36,100.0
"Towtruck Simulator 2015",1,1,100.0
"Toy Soldiers War Chest",2,2,100.0
"TrackMania United",6,6,100.0
"Tradewinds Caravans",1,1,100.0
"Train Fever",9,9,100.0
"TransOcean The Shipping Company",4,4,100.0
"Traps N' Gemstones",1,1,100.0
"Treasure Planet Battle at Procyon",1,1,100.0
"Tree of Life",2,2,100.0
"Treeker The Lost Glasses",1,1,100.0
"Trials Evolution Gold Edition",25,25,100.0
"Triple Town",1,1,100.0
"Trouble In The Manor",1,1,100.0
Tryst,1,1,100.0
"TyranoBuilder Visual Novel Studio",1,1,100.0
"Ultimate General Gettysburg",5,5,100.0
"Ultionus A Tale of Petty Revenge",1,1,100.0
"Undead Overlord",1,1,100.0
Unium,1,1,100.0
"Universe Sandbox ",7,7,100.0
"Unstoppable Gorg",2,2,100.0
"Urizen Shadows of the Cold",1,1,100.0
"Viking Brothers",1,1,100.0
"Virtua Tennis 4",2,2,100.0
"Virtual Villagers A New Home",1,1,100.0
"Void Destroyer",2,2,100.0
Volume,1,1,100.0
Vox,1,1,100.0
WARP,2,2,100.0
"WORLD END ECONOMiCA episode.01",4,4,100.0
"WRC 5",2,2,100.0
"WWE 2K15",5,5,100.0
"War of the Human Tanks",3,3,100.0
"Warehouse and Logistics Simulator",1,1,100.0
"Warhammer 40,000 Armageddon",1,1,100.0
"Warhammer 40,000 Regicide",2,2,100.0
"Warhammer End Times - Vermintide",17,17,100.0
"Warhammer Quest",2,2,100.0
"Warrior Kings Battles",1,1,100.0
"Watchmen The End Is Nigh",1,1,100.0
"Way of the Samurai 4",3,3,100.0
"Weapons Genius",2,2,100.0
"Weather Lord The Successor's Path",1,1,100.0
"Westerado Double Barreled",2,2,100.0
Westward,1,1,100.0
"Westward 3",1,1,100.0
"Who's That Flying?!",1,1,100.0
"Wildlife Park 2",2,2,100.0
Windborne,1,1,100.0
Windward,6,6,100.0
"Wings of Prey",11,11,100.0
"Wings! Remastered Edition",2,2,100.0
"Winning Post 8 2015",1,1,100.0
"Wolfenstein The New Order German Edition",10,10,100.0
"Wolfenstein The Old Blood German Edition",2,2,100.0
"World of Mixed Martial Arts 3",1,1,100.0
"World of Zoo",2,2,100.0
"Worldwide Soccer Manager 2009",1,1,100.0
"X-Plane 10 Global - 64 Bit",4,4,100.0
X-note,1,1,100.0
Xeodrifter,1,1,100.0
"You Must Build A Boat",1,1,100.0
ZOMBI,1,1,100.0
"Zombie Army Trilogy",5,5,100.0
"Zombie Grinder",1,1,100.0
"Zombie Panic Source",86,86,100.0
"Zombie Tycoon 2 Brainhov's Revenge",1,1,100.0
Zoombinis,1,1,100.0
Zotrix,1,1,100.0
"Zuma's Revenge! - Adventure",2,2,100.0
"aerofly RC 7",1,1,100.0
eden*,2,2,100.0
"fault milestone one",1,1,100.0
"fault milestone two sideabove",1,1,100.0
hocus,1,1,100.0
"iBomber Attack",1,1,100.0
"liteCam Game 100 FPS Game Capture",1,1,100.0
rFactor,1,1,100.0
"rFactor 2",1,1,100.0
"realMyst Masterpiece Edition",2,2,100.0
rymdkapsel,1,1,100.0
"theHunter Primal",4,4,100.0
"Fallout 4",168,167,99.4
H1Z1,138,137,99.28
DayZ,249,246,98.8
"Football Manager 2012",80,79,98.75
"Grand Theft Auto V",273,269,98.53
Starbound,134,132,98.51
"Killing Floor 2",49,48,97.96
"Plague Inc Evolved",46,45,97.83
"Magic 2014 ",45,44,97.78
"The Forest",131,128,97.71
"Arma 3",161,157,97.52
"Counter-Strike Global Offensive",1412,1377,97.52
"Football Manager 2014",80,78,97.5
"Football Manager 2015",79,77,97.47
"Project Zomboid",38,37,97.37
"Stranded Deep",38,37,97.37
"The Escapists",38,37,97.37
"Elite Dangerous",34,33,97.06
"METAL GEAR SOLID V THE PHANTOM PAIN",68,66,97.06
"DRAGON BALL XENOVERSE",33,32,96.97
"ARK Survival Evolved",163,158,96.93
Besiege,94,91,96.81
Rust,214,207,96.73
"Europa Universalis IV",52,50,96.15
"Project CARS",25,24,96.0
"The Binding of Isaac Rebirth",84,80,95.24
"7 Days to Die",103,98,95.15
"Call of Duty Black Ops III",41,39,95.12
"F1 2012",20,19,95.0
"Rocket League",157,149,94.9
"Darkest Dungeon",39,37,94.87
"Assetto Corsa",19,18,94.74
BeamNG.drive,19,18,94.74
"DiRT Rally",19,18,94.74
"Men of War Assault Squad 2",19,18,94.74
"Tabletop Simulator",19,18,94.74
"Ace of Spades",75,71,94.67
"The Elder Scrolls V Skyrim",717,677,94.42
"Divinity Original Sin",71,67,94.37
"Tropico 5",35,33,94.29
"Cities Skylines",122,115,94.26
"Dying Light",85,80,94.12
"Rogue Legacy",67,63,94.03
"Sins of a Solar Empire Rebellion",50,47,94.0
"Sid Meier's Civilization Beyond Earth",65,61,93.85
"Craft The World",16,15,93.75
"Galactic Civilizations III",16,15,93.75
Godus,16,15,93.75
"Medieval Engineers",16,15,93.75
"Stronghold Crusader 2",16,15,93.75
"Space Engineers",109,102,93.58
Banished,93,87,93.55
"Farming Simulator 15",31,29,93.55
"The Long Dark",31,29,93.55
"LEGO Worlds",30,28,93.33
"Rayman Legends",15,14,93.33
"Shovel Knight",15,14,93.33
"The Cave",15,14,93.33
"Anno 2070",59,55,93.22
"Infestation Survivor Stories",72,67,93.06
Watch_Dogs,43,40,93.02
"Sid Meier's Civilization V",596,554,92.95
CastleStorm,14,13,92.86
"Genesis Online",14,13,92.86
"Grim Dawn",14,13,92.86
"IL-2 Sturmovik Cliffs of Dover",14,13,92.86
"Sins of a Solar Empire Trinity",14,13,92.86
"Starpoint Gemini 2",14,13,92.86
Subnautica,14,13,92.86
Terraria,496,460,92.74
"Borderlands The Pre-Sequel",82,76,92.68
"Endless Legend",41,38,92.68
"Mad Max",27,25,92.59
"Train Simulator",54,50,92.59
"South Park The Stick of Truth",107,99,92.52
"Battlefield Bad Company 2",120,111,92.5
"DLC Quest",26,24,92.31
Krater,13,12,92.31
"Lead and Gold - Gangs of the Wild West",13,12,92.31
"Magic The Gathering - Duels of the Planeswalkers",13,12,92.31
"NBA 2K16",13,12,92.31
Verdun,26,24,92.31
"DARK SOULS II",77,71,92.21
"Total War ROME II - Emperor Edition",166,153,92.17
"Football Manager 2010",38,35,92.11
"Kerbal Space Program",98,90,91.84
"Cities XL 2012",12,11,91.67
"Sunless Sea",12,11,91.67
"Tom Clancy's Ghost Recon Future Soldier",12,11,91.67
"War for the Overworld",12,11,91.67
"Wasteland 2",24,22,91.67
"Mortal Kombat Komplete Edition",71,65,91.55
"Euro Truck Simulator 2",187,171,91.44
"Farming Simulator 2013",35,32,91.43
Nidhogg,35,32,91.43
"PAYDAY 2",427,390,91.33
"Football Manager 2011",34,31,91.18
"Garry's Mod",731,666,91.11
"Torchlight II",224,204,91.07
"The Walking Dead",122,111,90.98
"Castle Story",11,10,90.91
GRAV,11,10,90.91
HuniePop,22,20,90.91
"The Legend of Heroes Trails in the Sky",11,10,90.91
"Ryse Son of Rome",21,19,90.48
"Total War SHOGUN 2",198,179,90.4
"Democracy 3",31,28,90.32
"Need for Speed Hot Pursuit",62,56,90.32
"Next Car Game Wreckfest",31,28,90.32
"100% Orange Juice",10,9,90.0
"Dead Realm",10,9,90.0
"Hyperdimension Neptunia Re;Birth1",10,9,90.0
"I Am Alive",10,9,90.0
LYNE,10,9,90.0
"Magic 2015",20,18,90.0
"Magic The Gathering  Duels of the Planeswalkers 2012",20,18,90.0
"Shoot Many Robots",10,9,90.0
"Sniper Ghost Warrior 2",40,36,90.0
"The Stanley Parable",110,99,90.0
"Universe at War Earth Assault",10,9,90.0
"World in Conflict Soviet Assault",10,9,90.0
"Borderlands 2",429,386,89.98
"Call of Duty Black Ops II - Multiplayer",168,151,89.88
"Call of Duty 4 Modern Warfare",67,60,89.55
"Homeworld Remastered Collection",38,34,89.47
"Lords Of The Fallen",19,17,89.47
Nether,38,34,89.47
"Call of Duty Black Ops",254,227,89.37
"Rocksmith 2014",28,25,89.29
"Defense Grid The Awakening",46,41,89.13
"Goat Simulator",146,130,89.04
"Age of Wonders III",36,32,88.89
"Magicka 2",18,16,88.89
"NBA 2K14",18,16,88.89
"Octodad Dadliest Catch",27,24,88.89
"Scribblenauts Unmasked",9,8,88.89
"Test Drive Unlimited 2",27,24,88.89
"The Secret World",18,16,88.89
"The Settlers 7 Paths to a Kingdom - Gold Edition",9,8,88.89
"Transformers Fall of Cybertron",18,16,88.89
"Trials 2 Second Edition",9,8,88.89
"Killing Floor",215,191,88.84
"Resident Evil 6 / Biohazard 6",44,39,88.64
"Ori and the Blind Forest",35,31,88.57
Spintires,35,31,88.57
"Sniper Elite Nazi Zombie Army",26,23,88.46
"The Binding of Isaac",190,168,88.42
"METAL GEAR RISING REVENGEANCE",43,38,88.37
"Call of Duty Modern Warfare 3",239,211,88.28
"Risk of Rain",85,75,88.24
"NARUTO SHIPPUDEN Ultimate Ninja STORM 3 Full Burst",42,37,88.1
"Aliens Colonial Marines",25,22,88.0
"FINAL FANTASY XIV A Realm Reborn",25,22,88.0
Audiosurf,91,80,87.91
"State of Decay",73,64,87.67
Blur,8,7,87.5
"CastleMiner Z",16,14,87.5
Chime,8,7,87.5
"Cities XL 2011",8,7,87.5
"DYNASTY WARRIORS 8 Xtreme Legends Complete Edition",8,7,87.5
"Dead Effect",8,7,87.5
"Far Cry 4",40,35,87.5
"Football Manager 2016 Demo",8,7,87.5
"Hatoful Boyfriend",8,7,87.5
"Hearts of Iron III",24,21,87.5
"Might & Magic X - Legacy ",8,7,87.5
"Spacebase DF-9",8,7,87.5
"The Path",8,7,87.5
"Far Cry 3",207,181,87.44
"Emily is Away",55,48,87.27
"Pillars of Eternity",47,41,87.23
"NBA 2K15",23,20,86.96
"Turbo Dismount",23,20,86.96
"Chivalry Medieval Warfare",222,193,86.94
"Mount & Blade Warband",130,113,86.92
"Aliens vs. Predator",84,73,86.9
"DARK SOULS II Scholar of the First Sin",38,33,86.84
"Gauntlet ",38,33,86.84
"A Game of Thrones - Genesis",15,13,86.67
"Blood Bowl Chaos Edition",15,13,86.67
Broforce,30,26,86.67
"Construction-Simulator 2015",15,13,86.67
Deadpool,15,13,86.67
"Middle-earth Shadow of Mordor",112,97,86.61
"Call of Duty Modern Warfare 2",343,297,86.59
Spore,67,58,86.57
"The Witcher 3 Wild Hunt",89,77,86.52
"Castle Crashers",177,153,86.44
R.U.S.E,43,37,86.05
"Among the Sleep",7,6,85.71
"Batman Arkham Asylum",7,6,85.71
"Blade Symphony",14,12,85.71
"Command and Conquer 3 Kane's Wrath",14,12,85.71
"Dishonored (RU)",21,18,85.71
Divekick,7,6,85.71
"Driver San Francisco",21,18,85.71
"Dungeon of the Endless",21,18,85.71
"F1 2015",7,6,85.71
"Grow Home",14,12,85.71
"Knights of Honor",7,6,85.71
"Lethal League",14,12,85.71
"Mini Metro",7,6,85.71
"NEKOPARA Vol. 0",7,6,85.71
"Neverwinter Nights 2 Platinum",14,12,85.71
"Phantom Breaker Battle Grounds",7,6,85.71
"Rise of Venice",7,6,85.71
"RollerCoaster Tycoon 3 Platinum!",49,42,85.71
"Sacred 3",7,6,85.71
"Section 8 Prejudice",14,12,85.71
"Sonic Adventure 2 ",14,12,85.71
"Titan Attacks",7,6,85.71
"Town of Salem",14,12,85.71
"TrackMania Stadium",14,12,85.71
"Transformers War for Cybertron",14,12,85.71
Xenonauts,14,12,85.71
"Sniper Elite 3",62,53,85.48
"GRID Autosport",34,29,85.29
"Sniper Ghost Warrior",61,52,85.25
"Fallout New Vegas",337,287,85.16
"Duke Nukem Forever",47,40,85.11
"SimCity 4 Deluxe",67,57,85.07
Magicite,20,17,85.0
"Sniper Elite Nazi Zombie Army 2",20,17,85.0
Spelunky,40,34,85.0
"Plants vs. Zombies Game of the Year",66,56,84.85
"Call of Duty Modern Warfare 2 - Multiplayer",343,291,84.84
"BattleBlock Theater",125,106,84.8
"Universe Sandbox",59,50,84.75
"Deus Ex Human Revolution",163,138,84.66
"Dragomon Hunter",13,11,84.62
"Lichdom Battlemage",13,11,84.62
Minimum,13,11,84.62
"Planetary Annihilation TITANS",13,11,84.62
"Port Royale 3",13,11,84.62
SpeedRunners,65,55,84.62
"Viscera Cleanup Detail",13,11,84.62
"You Need A Budget 4 (YNAB)",13,11,84.62
"Prison Architect",116,98,84.48
Depth,32,27,84.38
"Hero Siege",32,27,84.38
"Left 4 Dead 2",951,801,84.23
"Crypt of the NecroDancer",19,16,84.21
"From Dust",38,32,84.21
"RollerCoaster Tycoon Deluxe",19,16,84.21
"Stronghold 3",57,48,84.21
Undertale,38,32,84.21
"Unreal Tournament 3 Black Edition",44,37,84.09
"Age of Empires II HD Edition",238,200,84.03
"Injustice Gods Among Us Ultimate Edition",56,47,83.93
"Rise of Nations Extended Edition",31,26,83.87
Dishonored,173,145,83.82
"Endless Space",61,51,83.61
"Angry Video Game Nerd Adventures",12,10,83.33
Bleed,6,5,83.33
Damned,12,10,83.33
"DuckTales Remastered",6,5,83.33
"Dungeons & Dragons Chronicles of Mystara",6,5,83.33
"F1 2011",6,5,83.33
"Freedom Planet",6,5,83.33
"Grim Legends The Forsaken Bride",6,5,83.33
Guncraft,6,5,83.33
"Her Story",6,5,83.33
"Interstellar Marines",12,10,83.33
"Killer is Dead",12,10,83.33
"Kingdoms of Amalur Reckoning",54,45,83.33
"Lifeless Planet",6,5,83.33
"Madballs in...Babo Invasion",12,10,83.33
Overgrowth,6,5,83.33
"Rayman Origins",12,10,83.33
"The Maw",6,5,83.33
"Portal 2",544,453,83.27
"This War of Mine",65,54,83.08
"Five Nights at Freddy's",53,44,83.02
"XCOM Enemy Unknown",194,161,82.99
"LEGO MARVEL Super Heroes",47,39,82.98
"The Talos Principle",29,24,82.76
"Wolfenstein The New Order",75,62,82.67
"Monday Night Combat",23,19,82.61
"Hotline Miami",114,94,82.46
"Dead Rising 3",17,14,82.35
Fuse,17,14,82.35
"Microsoft Flight Simulator X Steam Edition",34,28,82.35
"Baldur's Gate Enhanced Edition",28,23,82.14
Bulletstorm,28,23,82.14
Creativerse,28,23,82.14
BRINK,39,32,82.05
"Call of Duty Modern Warfare 3 - Multiplayer",239,196,82.01
"Warhammer 40,000 Dawn of War II",161,132,81.99
"Guns of Icarus Online",83,68,81.93
"Dungeon Defenders Eternity",11,9,81.82
"Keep Talking and Nobody Explodes",11,9,81.82
"Wargame Red Dragon",33,27,81.82
"Sleeping Dogs",104,85,81.73
"Super Meat Boy",153,125,81.7
"Ultra Street Fighter IV",49,40,81.63
"Dungeon Defenders",136,111,81.62
"Planetary Annihilation",81,66,81.48
"Empire Total War",263,214,81.37
"Metro Last Light",102,83,81.37
"Gotham City Impostors",16,13,81.25
"King Arthur II - The Role-playing Wargame",16,13,81.25
"Lego Harry Potter",16,13,81.25
"NARUTO SHIPPUDEN Ultimate Ninja STORM Revolution",16,13,81.25
"Savage Lands",16,13,81.25
"Slender The Arrival",16,13,81.25
"Call of Juarez Gunslinger",58,47,81.03
"Assassins Creed Unity",21,17,80.95
"Beat Hazard",42,34,80.95
"Dark Souls Prepare to Die Edition",136,110,80.88
"Fallout 3",47,38,80.85
"Napoleon Total War",167,135,80.84
"Valkyria Chronicles",36,29,80.56
"Grand Theft Auto IV",281,226,80.43
"Papers, Please",92,74,80.43
"Tom Clancy's Splinter Cell Blacklist",46,37,80.43
"Call of Duty Advanced Warfare - Multiplayer",76,61,80.26
"FTL Faster Than Light",157,126,80.25
Magicka,241,193,80.08
"9 Clues The Secret of Serpent Creek",5,4,80.0
Aberoth,5,4,80.0
"Act of Aggression",5,4,80.0
"Age of Mythology Extended Edition",45,36,80.0
"Axiom Verge",5,4,80.0
"Bookworm Adventures Deluxe",5,4,80.0
"Broken Age",20,16,80.0
"Brothers in Arms Hell's Highway",5,4,80.0
"Carmageddon Reincarnation",5,4,80.0
"Day One Garry's Incident",5,4,80.0
"Dragon's Lair",5,4,80.0
"Duke Nukem Forever ",5,4,80.0
"Epic Battle Fantasy 4",5,4,80.0
"Evil Genius",15,12,80.0
"F1 2013",15,12,80.0
"Fairy Fencer F",5,4,80.0
"Fearless Fantasy",5,4,80.0
"Flight Control HD",5,4,80.0
"FortressCraft Evolved",5,4,80.0
"Foul Play",5,4,80.0
"Geometry Dash",15,12,80.0
"Icewind Dale Enhanced Edition",5,4,80.0
Kenshi,5,4,80.0
"Lara Croft and the Temple of Osiris",5,4,80.0
"Lineage II",5,4,80.0
Miscreated,5,4,80.0
"Plug & Play",5,4,80.0
"Poker Night 2",35,28,80.0
"RPG MO",10,8,80.0
"Rivals of Aether",5,4,80.0
Rodina,5,4,80.0
Shadowgate,5,4,80.0
"Space Hulk Ascension",5,4,80.0
"The Amazing Spider-Man 2",5,4,80.0
"The Legend of Korra",15,12,80.0
"The Political Machine",5,4,80.0
"The Room",5,4,80.0
"Titan Souls",5,4,80.0
"TrackMania Canyon",5,4,80.0
"TrackMania Valley",5,4,80.0
"Victim of Xen",10,8,80.0
"Victor Vran",5,4,80.0
Ziggurat,5,4,80.0
Borderlands,183,146,79.78
"FINAL FANTASY VII",79,63,79.75
Homefront,54,43,79.63
"Alien Isolation",39,31,79.49
"Tomb Raider",257,204,79.38
"Star Wars - Battlefront II",140,111,79.29
"Command and Conquer 4 Tiberian Twilight",24,19,79.17
"Life Is Strange",48,38,79.17
"Warhammer 40,000 Space Marine",62,49,79.03
"LEGO The Lord of the Rings",38,30,78.95
"Order of War",19,15,78.95
Torchlight,95,75,78.95
"Don't Starve",199,157,78.89
"Might & Magic Heroes VI",52,41,78.85
"Max Payne 3",118,93,78.81
"Dead Island",231,182,78.79
"Cities in Motion",14,11,78.57
Gnomoria,14,11,78.57
"I am Bread",14,11,78.57
"Resident Evil / biohazard HD REMASTER",14,11,78.57
"Batman Arkham City",37,29,78.38
"Vampire The Masquerade - Bloodlines",37,29,78.38
"Age of Empires III Complete Collection",106,83,78.3
"L.A. Noire",92,72,78.26
"Saints Row IV",165,129,78.18
"Call of Duty World at War",87,68,78.16
"Call of Duty Black Ops - Multiplayer",254,198,77.95
"A Bird Story",9,7,77.78
"Assassin's Creed III",72,56,77.78
"Batman Arkham Knight",36,28,77.78
"Call of Duty Ghosts",90,70,77.78
"Call of Duty Ghosts - Multiplayer",90,70,77.78
"Car Mechanic Simulator 2014",27,21,77.78
"Dead Pixels",9,7,77.78
"Dead Rising 2",27,21,77.78
"Double Dragon Neon",9,7,77.78
"Kentucky Route Zero",9,7,77.78
"King's Bounty Warriors of the North",9,7,77.78
Miasmata,9,7,77.78
"Primal Carnage",27,21,77.78
"Puzzle Quest",9,7,77.78
"The Vanishing of Ethan Carter",27,21,77.78
"Wargame AirLand Battle",36,28,77.78
"X Rebirth",9,7,77.78
"Company of Heroes 2",112,87,77.68
"The Secret of Monkey Island Special Edition",40,31,77.5
"Mafia II",150,116,77.33
"The Elder Scrolls Online Tamriel Unlimited",22,17,77.27
Battlepaths,13,10,76.92
"Medal of Honor Airborne",13,10,76.92
"Rise of the Triad",13,10,76.92
"Robot Roller-Derby Disco Dodgeball",13,10,76.92
StarDrive,13,10,76.92
"Strike Vector",13,10,76.92
"Ultimate Tic-Tac-Toe",13,10,76.92
"Worms Reloaded",65,50,76.92
Insurgency,190,146,76.84
Reus,64,49,76.56
"Just Cause 2",243,186,76.54
"BIT.TRIP BEAT",17,13,76.47
"Command and Conquer Red Alert 3",34,26,76.47
"Defense Grid 2",17,13,76.47
"Door Kickers",17,13,76.47
"Nation Red",17,13,76.47
"PAC-MAN Championship Edition DX+",17,13,76.47
"The Banner Saga",38,29,76.32
Skullgirls,42,32,76.19
"Sonic & All-Stars Racing Transformed",42,32,76.19
"Surgeon Simulator",109,83,76.15
"Assassin's Creed IV Black Flag",71,54,76.06
"Saints Row The Third",259,197,76.06
Bastion,141,107,75.89
"FINAL FANTASY XIII",29,22,75.86
RAGE,87,66,75.86
"DiRT 2",33,25,75.76
"Arma 2 Operation Arrowhead",250,189,75.6
"Shadowrun Returns",53,40,75.47
"DmC Devil May Cry",57,43,75.44
Contagion,65,49,75.38
Crysis,73,55,75.34
"Mitos.is The Game",73,55,75.34
A.R.E.S.,12,9,75.0
"AION Free-to-Play",4,3,75.0
"Arma Combat Operations",4,3,75.0
"Artemis Spaceship Bridge Simulator",4,3,75.0
"BRAINPIPE A Plunge to Unhumanity",4,3,75.0
Basement,4,3,75.0
"Battle for Graxia",4,3,75.0
"BlazBlue Continuum Shift Extend",4,3,75.0
"Blazing Angels 2 Secret Missions of WWII",4,3,75.0
Breach,4,3,75.0
"Cabela's Big Game Hunter Pro Hunts",4,3,75.0
"Call of Duty Black Ops - OSX",4,3,75.0
"Castlevania Lords of Shadow - Ultimate Edition",20,15,75.0
"Coin Crypt",4,3,75.0
"Command and Conquer 3 Tiberium Wars",24,18,75.0
"Crazy Machines",4,3,75.0
CubeGun,4,3,75.0
Darkspore,8,6,75.0
"Dawn of Discovery - Venice",8,6,75.0
"Death Rally",4,3,75.0
Delver,4,3,75.0
"Deponia The Complete Journey",8,6,75.0
Devilian,16,12,75.0
"Dig or Die",4,3,75.0
"Doc Clock The Toasted Sandwich of Time",4,3,75.0
"Doorways Prelude",4,3,75.0
"Doorways The Underworld",4,3,75.0
"Elven Legacy",4,3,75.0
"Fahrenheit Indigo Prophecy Remastered",4,3,75.0
"Fate of the World",8,6,75.0
"Five Nights at Freddy's 4",16,12,75.0
"GUILTY GEAR Xrd -SIGN-",4,3,75.0
"Genesis Rising",4,3,75.0
"Guild of Dungeoneering",4,3,75.0
"Gunman Clive",4,3,75.0
"Heavy Fire Afghanistan",4,3,75.0
"Heroes of Might & Magic V",16,12,75.0
"Hunted The Demon's Forge",8,6,75.0
"IL-2 Sturmovik 1946",12,9,75.0
"Impossible Creatures",4,3,75.0
"Indigo Prophecy",4,3,75.0
"Intergalactic Bubbles",4,3,75.0
"Ironclad Tactics",4,3,75.0
"Layers of Fear",4,3,75.0
"Lego Star Wars 3 The Clone Wars",4,3,75.0
Love,4,3,75.0
"Lucius II",4,3,75.0
"METAL SLUG 3",28,21,75.0
"MLB 2K12",4,3,75.0
"Major Mayhem",4,3,75.0
Moonrise,4,3,75.0
"NBA 2K13",8,6,75.0
"Nexus The Jupiter Incident",4,3,75.0
"Nightmares from the Deep 2 The Siren`s Call",4,3,75.0
"Nightmares from the Deep The Cursed Heart",4,3,75.0
"ONE PIECE PIRATE WARRIORS 3",4,3,75.0
"Oddworld New 'n' Tasty",8,6,75.0
"Phoenix Force",4,3,75.0
"Plain Sight",16,12,75.0
"Postal 3",4,3,75.0
Primordia,4,3,75.0
"Professional Farmer 2014",12,9,75.0
"Quest of Dungeons",4,3,75.0
"RPG Maker 2003",4,3,75.0
"RUNNING WITH RIFLES",4,3,75.0
"SONIC THE HEDGEHOG 4 Episode I",4,3,75.0
"Silent Hill Homecoming",8,6,75.0
"Solar Flux",4,3,75.0
"Space Hulk",8,6,75.0
"Space Quest Collection",4,3,75.0
"Strike Suit Zero Director's Cut",4,3,75.0
"Subspace Continuum",4,3,75.0
"Super House of Dead Ninjas",4,3,75.0
"Super Time Force Ultra",4,3,75.0
"Supreme Ruler Cold War",4,3,75.0
"TDP4Team Battle",8,6,75.0
"Tales from the Borderlands",20,15,75.0
"The Amazing Spider-Man",4,3,75.0
"The Jackbox Party Pack",8,6,75.0
"Tom Clancy's EndWar",4,3,75.0
"Tony Hawk's Pro Skater HD",8,6,75.0
"Total War Battles KINGDOM",24,18,75.0
Towns,8,6,75.0
"War of the Vikings",4,3,75.0
"Warhammer 40,000 Kill Team",4,3,75.0
"Ys The Oath in Felghana",4,3,75.0
Yury,4,3,75.0
"Zombie Driver HD",4,3,75.0
"Zuma's Revenge",4,3,75.0
Outlast,95,71,74.74
"Dragon Age Origins - Ultimate Edition",79,59,74.68
"How to Survive",75,56,74.67
"Natural Selection 2",130,97,74.62
"Sakura Clicker",63,47,74.6
"Dungeon Defenders II",114,85,74.56
"Crusader Kings II",102,76,74.51
"METAL GEAR SOLID V GROUND ZEROES",47,35,74.47
"Five Nights at Freddy's 2",31,23,74.19
"Fable III",23,17,73.91
"The Testament of Sherlock Holmes",23,17,73.91
"Tropico 4",92,68,73.91
"Assassin's Creed II",80,59,73.75
"Battlefield 2",19,14,73.68
"The LEGO Movie - Videogame",19,14,73.68
"Victoria II",19,14,73.68
Demigod,15,11,73.33
"Sakura Spirit",15,11,73.33
"Sniper Elite V2",242,177,73.14
"Counter-Strike Source",978,715,73.11
FORCED,37,27,72.97
"PAYDAY The Heist",277,202,72.92
"Black Mesa",11,8,72.73
"Devil May Cry 3 Special Edition",11,8,72.73
"Football Manager 2009",55,40,72.73
"Lost Planet 2",11,8,72.73
Lucius,33,24,72.73
"Space Run",11,8,72.73
"Zombie Driver",11,8,72.73
"Left 4 Dead",281,204,72.6
"FINAL FANTASY VIII",40,29,72.5
Hammerwatch,69,50,72.46
DiggerOnline,47,34,72.34
"Fallout 3 - Game of the Year Edition",141,102,72.34
"God Mode",18,13,72.22
"Sleeping Dogs Definitive Edition",18,13,72.22
"Wolfenstein The Old Blood ",18,13,72.22
"The Wolf Among Us",61,44,72.13
"Hitman Absolution",197,142,72.08
Evoland,25,18,72.0
"Hotline Miami 2 Wrong Number",25,18,72.0
"Mass Effect",96,69,71.88
"The Witcher Enhanced Edition",167,120,71.86
"Sonic Generations",39,28,71.79
